Name;Anzahl;Link;Einzelpreis;Postenpreis
Teensy;1;https://www.pjrc.com/store/teensy41.html;22,49 €;22,49 €
Anschlusskabel;1;https://amzn.to/3uZ8NG5 ;11,99 €;11,99 €
Nema 11;3;https://amzn.to/3qm2b0T;18,99 €;56,97 €
Nema 17;1;https://amzn.to/38hVsiv;9,99 €;9,99 €
Nema 23;2;https://amzn.to/3qi2M3S;24,99 €;49,98 €
Schrittmotortreiber;2;https://amzn.to/3bnhW3y;33,99 €;67,98 €
Anschlussklemmen;1;https://amzn.to/3edpHuM;10,99 €;10,99 €
100uF Elko;1;https://amzn.to/3rqmbky;2,08 €;2,08 €
100nF Kerko;1;https://amzn.to/2OpoHZD;1,88 €;1,88 €
widerstandsset;1;https://amzn.to/30ngRSW;16,39 €;16,39 €
BC547;;https://amzn.to/38jrR8l;5,20 €;0,00 €
;;;;
Schrauben etc;1;https://amzn.to/3qswe7g;8,99 €;8,99 €
;1;https://amzn.to/3bnNlmn;8,99 €;8,99 €
;1;https://amzn.to/3qpjVbG;6,12 €;6,12 €
;1;https://amzn.to/3qk4EJf;7,99 €;7,99 €
;1;https://amzn.to/38cMoeP;8,99 €;8,99 €
;1;https://amzn.to/3ehTRgf;5,29 €;5,29 €
;1;https://amzn.to/38k1Yp3;12,39 €;12,39 €
;1;https://amzn.to/3ehhy8D;11,59 €;11,59 €
;1;https://amzn.to/30nUj4o;26,99 €;26,99 €
;1;https://amzn.to/3efWak1;12,99 €;12,99 €
;2;https://amzn.to/3rpaNoN;2,89 €;5,78 €
;1;https://amzn.to/3sR6W4c;3,29 €;3,29 €
;1;https://amzn.to/3rnODU0;3,65 €;3,65 €
;1;https://amzn.to/3bml9jH;2,71 €;2,71 €
;;;;
Pulley und Riemen;2;https://amzn.to/3c9eEA3;10,81 €;21,62 €
;1;https://amzn.to/2OuxWYu;10,81 €;10,81 €
;1;https://amzn.to/3qpd0j5;8,49 €;8,49 €
;1;https://amzn.to/30lxqyE;8,49 €;8,49 €
;1;https://amzn.to/3v4gLxV;5,99 €;5,99 €
;;;;0,00 €
Lager;1;https://amzn.to/3v0YCAO;8,59 €;8,59 €
;1;https://amzn.to/3kPHae6;8,49 €;8,49 €
;1;https://amzn.to/3efX0NH;5,79 €;5,79 €
;1;https://amzn.to/3rpbLRX;13,99 €;13,99 €
;1;https://amzn.to/3l45BVn;9,99 €;9,99 €
;1;https://amzn.to/38hAXlQ;10,99 €;10,99 €
;;;;489,74 €
